19demarzo/19demarzo_0000.wav|Durante nuestra conversacion adverti que la multitud aumentaba apretandose mas.|Durante nuestra conversacion adverti que la multitud aumentaba apretandose mas.|5.88
19demarzo/19demarzo_0001.wav|Componianla personas de ambos sexos y de todas las clases de la sociedad|Componianla personas de ambos sexos y de todas las clases de la sociedad|4.52
19demarzo/19demarzo_0002.wav|espontaneamente venidas por uno de esos llamamientos morales intimos misteriosos informulados que no parten de ninguna voz oficial|espontaneamente venidas por uno de esos llamamientos morales intimos misteriosos informulados que no parten de ninguna voz oficial|8.31
19demarzo/19demarzo_0003.wav|y resuenan de improviso en los oidos de un pueblo entero hablandole el balbuciente lenguaje de la inspiracion.|y resuenan de improviso en los oidos de un pueblo entero hablandole el balbuciente lenguaje de la inspiracion.|7.2
19demarzo/19demarzo_0004.wav|La campana de ese arrebato glorioso no suena sino cuando son muchos los corazones dispuestos a palpitar en concordancia con su anhelante ritmo|La campana de ese arrebato glorioso no suena sino cuando son muchos los corazones dispuestos a palpitar en concordancia con su anhelante ritmo|7.5
19demarzo/19demarzo_0005.wav|y raras veces presenta la historia ejemplos como aquel porque el sentimiento patrio no hace milagros sino cuando es una condensacion colosal|y raras veces presenta la historia ejemplos como aquel porque el sentimiento patrio no hace milagros sino cuando es una condensacion colosal|8.32
19demarzo/19demarzo_0006.wav|una unidad sin discrepancias de ningun genero|una unidad sin discrepancias de ningun genero|2.79
19demarzo/19demarzo_0007.wav|y por lo tanto una fuerza irresistible y superior a cuantos obstaculos pueden oponerle los recursos materiales el genio militar y la muchedumbre de enemigos.|y por lo tanto una fuerza irresistible y superior a cuantos obstaculos pueden oponerle los recursos materiales el genio militar y la muchedumbre de enemigos.|10.58
19demarzo/19demarzo_0008.wav|El mas poderoso genio de la guerra es la conciencia nacional y la disciplina que da mas cohesion el patriotismo.|El mas poderoso genio de la guerra es la conciencia nacional y la disciplina que da mas cohesion el patriotismo.|8.35
19demarzo/19demarzo_0009.wav|Estas reflexiones se me ocurren ahora recordando aquellos sucesos.|Estas reflexiones se me ocurren ahora recordando aquellos sucesos.|4.0
19demarzo/19demarzo_0010.wav|Entonces y en la famosa mananade que me ocupo no estaba mi animo para consideraciones de tal indole mucho menos en presencia de un conflicto popular que de minuto en minuto tomaba proporciones graves.|Entonces y en la famosa de que me ocupo no estaba mi animo para consideraciones de tal indole mucho menos en presencia de un conflicto popular que de minuto en minuto tomaba proporciones graves.|12.64
19demarzo/19demarzo_0011.wav|La ansiedad crecia por momentos: en los semblantes habia mas que ira aquella tristeza profunda que precede a las grandes resoluciones|La ansiedad crecia por momentos: en los semblantes habia mas que ira aquella tristeza profunda que precede a las grandes resoluciones|7.95
